iso3c,region_unfccc,region_sr
AFG,Asia-Pacific,South Asia
AGO,Africa,Africa
ALB,Eastern Europe,Eastern Europe
AND,Western Europe and Other,Western Europe and North America
ARE,Asia-Pacific,Middle East and Central Asia
ARG,Latin America & Caribbean,Latin America and Caribbean
ARM,Eastern Europe,Eastern Europe
ATG,Latin America & Caribbean,Latin America and Caribbean
AUS,Western Europe and Other,Asia-Pacific
AUT,Western Europe and Other,Western Europe and North America
AZE,Eastern Europe,Middle East and Central Asia
BDI,Africa,Africa
BEL,Western Europe and Other,Western Europe and North America
BEN,Africa,Africa
BFA,Africa,Africa
BGD,Asia-Pacific,South Asia
BGR,Eastern Europe,Eastern Europe
BHR,Asia-Pacific,Middle East and Central Asia
BHS,Latin America & Caribbean,Latin America and Caribbean
BIH,Eastern Europe,Eastern Europe
BLR,Eastern Europe,Eastern Europe
BLZ,Latin America & Caribbean,Latin America and Caribbean
BOL,Latin America & Caribbean,Latin America and Caribbean
BRA,Latin America & Caribbean,Latin America and Caribbean
BRB,Latin America & Caribbean,Latin America and Caribbean
BRN,Asia-Pacific,Asia-Pacific
BTN,Asia-Pacific,South Asia
BWA,Africa,Africa
CAF,Africa,Africa
CAN,Western Europe and Other,Western Europe and North America
CHE,Western Europe and Other,Western Europe and North America
CHL,Latin America & Caribbean,Latin America and Caribbean
CHN,Asia-Pacific,Asia-Pacific
CIV,Africa,Africa
CMR,Africa,Africa
COD,Africa,Africa
COG,Africa,Africa
COK,Asia-Pacific,Asia-Pacific
COL,Latin America & Caribbean,Latin America and Caribbean
COM,Africa,Africa
CPV,Africa,Africa
CRI,Latin America & Caribbean,Latin America and Caribbean
CUB,Latin America & Caribbean,Latin America and Caribbean
CYP,Asia-Pacific,Middle East and Central Asia
CZE,Eastern Europe,Eastern Europe
DEU,Western Europe and Other,Western Europe and North America
DJI,Africa,Africa
DMA,Latin America & Caribbean,Latin America and Caribbean
DNK,Western Europe and Other,Western Europe and North America
DOM,Latin America & Caribbean,Latin America and Caribbean
DZA,Africa,Africa
ECU,Latin America & Caribbean,Latin America and Caribbean
EGY,Africa,Africa
ERI,Africa,Africa
ESP,Western Europe and Other,Western Europe and North America
EST,Eastern Europe,Eastern Europe
ETH,Africa,Africa
FIN,Western Europe and Other,Western Europe and North America
FJI,Asia-Pacific,Asia-Pacific
